Customer Id,Customer Fname,Customer Lname,Customer Segment
20755,Cally,Holloway,Consumer
19492,Irene,Luna,Consumer
19491,Gillian,Maldonado,Consumer
19490,Tana,Tate,Home Office
19489,Orli,Hendricks,Corporate
19488,Kimberly,Flowers,Consumer
19487,Constance,Terrell,Home Office
19486,Erica,Stevens,Corporate
19485,Nichole,Olsen,Corporate
19484,Oprah,Delacruz,Corporate
19483,Germane,Short,Corporate
19482,Freya,Robbins,Consumer
19481,Cassandra,Jensen,Corporate
19480,Natalie,Mcfadden,Corporate
19479,Kimberley,Sharpe,Corporate
19478,Sade,Lancaster,Corporate
19477,Brynne,Giles,Corporate
19476,Ciara,Bird,Corporate
19475,Bo,Griffin,Consumer
19474,Kim,Simon,Consumer
19473,Kellie,Farmer,Corporate
19472,Alma,Conley,Corporate
19471,Yeo,Bird,Corporate
19470,Lucy,Mcknight,Corporate
19469,Simone,Vance,Corporate
19468,Roary,Wheeler,Corporate
19467,Quail,Ashley,Consumer
19466,Hannah,Velez,Corporate
19465,Evelyn,Kelly,Corporate
19464,Jael,Mcfarland,Consumer
19463,Teagan,Romero,Consumer
19462,Joan,Wilder,Consumer
19461,Basia,Watts,Consumer
19460,Dominique,Rogers,Consumer
19459,Ainsley,Mathis,Consumer
19458,Aurora,Sharp,Corporate
19457,Libby,Bray,Corporate
19456,Amy,Lindsay,Corporate
19455,Ivory,Parks,Consumer
19454,Karina,Prince,Consumer
19453,Deanna,Goff,Consumer
19452,Dacey,Walters,Home Office
19451,Adele,Pennington,Home Office
19450,Sybill,Spencer,Home Office
19449,Kay,Sandoval,Consumer
19448,Stacy,Mckinney,Corporate
19447,Marah,Lara,Corporate
19446,Taylor,Wood,Corporate
9083,Mary,Frank,Home Office
4741,Mary,Smith,Home Office
639,Elizabeth,Pittman,Home Office
9702,Katherine,Tyler,Home Office
9114,Mary,Smith,Home Office
1362,Dennis,Smith,Home Office
8011,Mary,Hill,Home Office
3296,Mary,Smith,Home Office
3182,Frances,Smith,Home Office
7864,Alice,Smith,Home Office
11169,Kyle,Thomas,Home Office
5197,Brenda,Jordan,Home Office
1535,Frank,Livingston,Home Office
6122,Johnny,Smith,Home Office
9451,Mary,Smith,Home Office
542,Mary,Smith,Home Office
11329,Hannah,Smith,Home Office
3570,Mary,Nelson,Home Office
650,Austin,Sexton,Home Office
9353,Michael,Scott,Home Office
54,Mary,Olson,Home Office
12151,Vincent,Krueger,Home Office
10018,Gregory,Rodriguez,Home Office
4936,Kyle,Smith,Home Office
8707,Lisa,Smith,Home Office
1025,Megan,Todd,Home Office
8831,Mary,Smith,Home Office
10679,Mary,Smith,Home Office
5007,Mary,Smith,Home Office
9854,Mary,Smith,Home Office
376,Grace,Sanchez,Home Office
5417,Dennis,Meyer,Home Office
10759,Douglas,Smith,Home Office
8541,Mary,Smith,Home Office
3752,Mary,Vega,Home Office
4673,Wayne,Hodges,Home Office
5367,Mary,Mccormick,Home Office
10485,Mary,Smith,Home Office
9272,Ronald,Blackwell,Home Office
647,Mary,Rios,Consumer
6398,Tammy,Smith,Consumer
4209,Mary,Lara,Consumer
8917,Mary,Smith,Consumer
7784,Mary,Smith,Consumer
1425,Christina,Harvey,Consumer
2737,Mary,Smith,Consumer
6428,Mary,Smith,Consumer
6543,Alexander,Smith,Consumer
3990,Sandra,Smith,Consumer
8524,Ruth,Farrell,Consumer
9204,Mary,Harris,Consumer
11761,Lauren,Coleman,Consumer
9554,Mary,Hayes,Consumer
5118,Mary,Smith,Consumer
5506,Gregory,Smith,Consumer
1423,Mary,Day,Consumer
138,Mary,Dawson,Consumer
6360,Mary,Phillips,Consumer
2053,Ronald,Smith,Consumer
10344,Mary,Smith,Consumer
3375,Mary,Sanchez,Consumer
1339,Melissa,Mack,Consumer
7247,Mary,Smith,Consumer
1273,Maria,Evans,Consumer
6277,Eugene,Smith,Consumer
7701,James,Lawson,Consumer
4126,John,Stokes,Consumer
9528,Mary,Flores,Consumer
1853,Mary,Austin,Consumer
11149,Roy,Smith,Consumer
5828,Katherine,Oconnell,Consumer
6887,Mary,Smith,Consumer
4781,Janet,Smith,Consumer
10668,Mary,Smith,Consumer
5421,Mary,Carlson,Consumer
10200,Nicole,Smith,Consumer
11254,Sharon,Smith,Consumer
11106,Mary,Navarro,Consumer
8456,Mary,Smith,Consumer
6149,Matthew,Bush,Consumer
1473,Anthony,Young,Consumer
1840,Jerry,Smith,Consumer
6757,Mary,Freeman,Consumer
3972,Laura,Bennett,Consumer
9316,Megan,Sanders,Consumer
11213,Mary,Black,Consumer
3474,Jack,Hatfield,Consumer
14630,Kirestin,Barr,Consumer
13256,Nora,Downs,Consumer
14665,Jennifer,Stokes,Consumer
13363,Madonna,Ingram,Consumer
14645,Noelani,Hyde,Consumer
13163,Sydnee,Nolan,Consumer
14553,Willa,Potter,Consumer
14287,Alma,Delgado,Consumer
13179,Ila,Knight,Consumer
13035,Belle,Booker,Consumer
14322,Alyssa,Contreras,Consumer
13196,Lani,Nash,Consumer
14604,Demetria,Jarvis,Consumer
12961,Joan,Nixon,Consumer
14676,Gay,Harper,Consumer
14087,Audrey,Acosta,Consumer
13194,Riley,Jones,Consumer
14513,Imani,Kelly,Consumer
13461,Mechelle,Parker,Consumer
14510,Imani,Castaneda,Consumer
13190,Whitney,Henderson,Consumer
14508,Roanna,Martin,Consumer
14472,Vivian,Hays,Consumer
14562,Xantha,Brock,Consumer
13206,Zia,Davis,Consumer
13080,Mara,Duffy,Consumer
14633,Sloane,Long,Consumer
14097,Winifred,Alexander,Consumer
13024,Giselle,Farrell,Consumer
778,John,Buckley,Consumer
7146,Nancy,Curry,Consumer
6365,Mary,Smith,Consumer
8422,Wayne,Crawford,Consumer
3784,Mary,Sharp,Consumer
10519,Mary,Smith,Consumer
7132,David,Guerra,Consumer
3709,Mary,Padilla,Consumer
1509,Patricia,Petersen,Consumer
1636,Julie,Petersen,Consumer
2784,Lisa,Smith,Consumer
9174,Tyler,Smith,Consumer
122,Karen,Smith,Consumer
3800,Shawn,Smith,Consumer
10029,Mary,Silva,Consumer
2805,Willie,Smith,Consumer
12253,Mary,Chan,Consumer
3528,Nicole,Brooks,Consumer
11018,Bruce,Smith,Consumer
3222,Mary,Williams,Consumer
6246,Melissa,Ramirez,Consumer
8741,Gregory,Smith,Consumer
8050,Elizabeth,Smith,Consumer
5474,Mary,Sanchez,Consumer
474,Mary,Patton,Consumer
12255,Mary,Davis,Consumer
10288,Mark,Smith,Consumer
